id	polarity	decision	expected	verdict	fixture_sha256	decision_sha256	signature
hp-001	attack	deny	deny	BLOCKED	f4df120257c27a0f3ef1aaa1129d4838488fdb63edbc1456167b4ba533145e68	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	c0014a927625e34b075491306da22ce5edb91f084e3d3841a92527fd3a891d6c
hp-002	attack	deny	deny	BLOCKED	b28d4efed9321461bdcf2c207498dad017696b0438ae7f90b7ac1d8bbbfaa38a	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	82edf8337cfbec0e3d0bf4bbfcbd0c71e3f489f0a62bd5083150260cbdf5ed04
hp-003	attack	deny	deny	BLOCKED	55debbc9e77c73e682f6005a63716095fdc5bcc8d71491658df2349e4b5de9f2	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	2a55cc2e6f8d94fc7444f684c807d3ae73ac504f62d1a938582cb8a325f98856
hp-004	attack	deny	deny	BLOCKED	5ea6a5b86a7b929e81277f17c3055fe42d1f480f42ad95759cbc3597e1a76104	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	9ef531f2e12807f33598bd6edb06ca3d1e2091180ac55813f75e87481001db81
hp-005	attack	deny	deny	BLOCKED	3fb28c848d1dfa8e71d4e39f4709abb91c4b9c40a47ee3bd9875df14450332f4	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	fc6cdda24e7ec988c0dfb9d130213d3f3d90392092a87fd8d8bfe8ee32ffc312
hp-006	attack	deny	deny	BLOCKED	5d8865e52f5915bc289c94bbd0ac2c324e23d8944ec5f7f6de88c86c4b034833	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	fba0c7244288c8dd63a9b20b3cf71ac817cb77d532d31c9af59d5dea51a40c7e
hp-007	attack	deny	deny	BLOCKED	ce6e8d914508926ba5125c2fa43c1a5a8efaa4202dbf8f5253ff3eba6e93a40e	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	60b3a115a5e761dbcecdca4fa140e675a0fa6ad3d489101fe906551c33c10ca9
hp-008	benign	allow	allow	PASS	707b4fb20602d3fabdd2ec3d27e326e08331e23d219bea7364cc03b79e92109d	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	40a648d5669a701474904c84f31e89d2247205a0c1aa4c6f38f4f7854a2f815a
