id	polarity	decision	expected	verdict	fixture_sha256	decision_sha256	signature
tc-001	attack	allow	deny	KNOWN-GAP	079a43a1d9965cef9654a475e78a85e011972b4ae6daa24f71c352845cfd0b31	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	0c0ef833e02c35078c7467ee0d403cbae927c4aa774152936199a5827643f442
tc-002	attack	deny	deny	BLOCKED	5efaf56a35f94d222b68cac013a6ed6427c71a50c36e7d4e4291371555fa979e	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	4a9ab30a85fe8610d5750aee4ce74ca49186d951e1c0771812c10374c6a7369e
tc-003	attack	deny	deny	BLOCKED	c1ec9b0f00ca4b48d4cd91f0f96d19b84affbfa989eef9001f05b39d4ef02772	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	f1e6c3243f0db4d71504860a02a2a22a8a8961661b1762a2367f82c23a6db853
tc-004	attack	deny	deny	BLOCKED	0a01c7d503cc8feca1eb1eea43be950ae47818323dc778de228ecb2d0362a0df	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	35e6b395fa613894f10fc7ec8c9864fb313fcd23de4378da68fcb9c0690cc5c7
tc-005	attack	deny	deny	BLOCKED	5bf49f61eead5696d5a3b28df8ef0b6b014a6c4c8b390b6f558c43a1394a491f	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	af70f6ed7638cd910eac9fa8821d0ce5e5b6c5c1736d99d5a42108b03d387c94
tc-006	attack	deny	deny	BLOCKED	64219facdbbf469e186682a04ae1eacb02b0936ee57ed96ca5a908fbbab6fb22	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	06df3cfac320d88213f2e053720dce7b4fe4064da199a1ca9107faa2a62bed1d
tc-007	attack	deny	deny	BLOCKED	b623cff448ef8d129acfe9e21a16b39ec421633390ee10d1adb0b0c276f2f734	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	a9bb9b637e0aa482636fb16ed42a01a1145ce9c3210fc5ff55401c3488ebff67
tc-008	attack	deny	deny	BLOCKED	80bdade009ad0f3e6dbf5a771d674588c3f8e6614f11997e59a4410bcc1293b9	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	597df6d6bf735b43f09f1c67978c6f4fcdc8d6fa73616f1736218d9d501581e2
tc-009	benign	allow	allow	PASS	e3a0e4673506fb099e0a3da19653b4a9a3d60f119d7cd5bee2da160e22191b51	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	7d61cf8e49a78a5edd64eb35c56e8f5782a1b2d48446a0958376536a741c316d
