id	polarity	decision	expected	verdict	fixture_sha256	decision_sha256	signature
li-001	attack	deny	deny	BLOCKED	85d1f639cdbbfcfd00f23f40a4355f70bba85bdd59498b4c42c64c0113eea3d7	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	6d93dcb4d80bdd987e94fe3a64d591ca3fdab0d2432a0a940a3dc7f8ba252697
li-002	attack	deny	deny	BLOCKED	a984f3556f9db8821866bf588b81e9eccee5110205adb2da281107beb5c6d860	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	9c4ca8d3a41f605cebc628eb8e9c2647e9d2ffa5d619bfd3630ea9a98908abcd
li-003	attack	deny	deny	BLOCKED	573c00ad338464a65f8286ba8bbe2f285688a7aefa5fd76201cb2fdef2834208	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	ea85dcc47945ba5ff69e5c262a676384597e7fd14c839118fb8dad5f9b1a3830
li-004	attack	deny	deny	BLOCKED	6139829efcc3b5de97b0d81a9a570166a35da98937fed1f69084da1e9805f508	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	9e51215d5f74c707656b27d1d3e9eb008fa99feec44a7c4ec4d732b044595d91
li-005	attack	deny	deny	BLOCKED	ca723fd6692835d59fe03b18d79fd3f3dab2cf88c4e0a3b280870abd4bb66ce2	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	dd8c801a9f26fe7f782d4ea63e1ba84217e0fd36a14e426eedbed766dadd5e57
li-006	attack	deny	deny	BLOCKED	a6720fef4e72094fdc78e8bf1271ca13818ef0a7d7d08e5f9a947833a5fa92e7	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	2f78fe140774fb3e6fceffa09302141ab1f32d53092249b2e7a3e19b83b78d2f
li-007	attack	deny	deny	BLOCKED	b6d86dd0c8ccd5cfc48f99a18b45665a01622f0ad31b09bd821c90bd2c9988c2	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	a0a04b46a36db56151ff1336180dca9dbd6d58390d57d6ec850538e79a882ebf
li-008	benign	allow	allow	PASS	db1e29f0a1d144813536e5d6e26f610a64de38ba00de9318412ebd76a9fb60b7	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	0f83c32bd65492074b465c0829c78fd2333aba617dd011909243b4a88bcf7983
