id	polarity	decision	expected	verdict	fixture_sha256	decision_sha256	signature
ef-001	attack	exit_1	exit_1	BLOCKED	ec7f2d117a3ae0c298e91285a8366629acb8bffbd303be207e1262c940cab2cf	0939fef5640b3c9bcf572b49c9dc4d29e28989a3522e93d20f1915235a714e68	d862ec53e77b071fd150694f3b5a3ee225d07a66ae31427a2d6571ca34e37328
ef-002	attack	exit_1	exit_1	BLOCKED	f3fde01f7253a006d684b1a219a015da26122f52c0cbe881bc7b5a76e4353a71	0939fef5640b3c9bcf572b49c9dc4d29e28989a3522e93d20f1915235a714e68	8fcbe0f5c406c32d5a74948ccfde646f90bf3cf3e418c57a529f832d6669bb0e
ef-003	attack	exit_1	exit_1	BLOCKED	1c57e414e8c8cb44e022defb30cffe9f7b26bc30198116a7445780b632ee5186	0939fef5640b3c9bcf572b49c9dc4d29e28989a3522e93d20f1915235a714e68	255cbf2ac4006bd73321ffae31c4eef227061386673283a9c3bee8f9c3c23744
ef-004	attack	exit_0	exit_1	KNOWN-GAP	7b76c91aafef6b8fa0ad89a940aa8151116ddcd4830e1cc939678f3925c571b1	48b06b136dec3d56b7f6912ac88ca9a1268fabea81d754a528b1c6a0f8aa2a7e	629d3c73856e51b0bda72e40d0fc260bf4996e63e635aff8bfe3d50c1f90522f
ef-005	attack	exit_1	exit_1	BLOCKED	168e68556a77f93baab6ec6e91048aa6f82165acb2f001315f435b07741c9da4	0939fef5640b3c9bcf572b49c9dc4d29e28989a3522e93d20f1915235a714e68	7a0327358f0ea3999b6214184a5666392eee9655c74c9f412019ed563c6698bc
ef-006	attack	exit_1	exit_1	BLOCKED	92988b3a5bd1346f8aae6ee9b928a801d0ce19c1829392db1a2ba916aa180c83	0939fef5640b3c9bcf572b49c9dc4d29e28989a3522e93d20f1915235a714e68	c9b340afe2ab48b189f6bc4b62ea28706425624c3a66a1071a95be646dadfdf8
ef-007	attack	exit_1	exit_1	BLOCKED	2da2a93b3744461158c58a79683db6848115b95c427af0ae84cbf16d6881515f	0939fef5640b3c9bcf572b49c9dc4d29e28989a3522e93d20f1915235a714e68	e8261fa366c29cd0953029fc97c01595607b3b01df45c02af8ce7b8d968f2e9e
ef-008	benign	exit_0	exit_0	PASS	8525e0cd4d5840dd522d4203893229ce074037e78cf9d5fe37ddccb79060aa45	48b06b136dec3d56b7f6912ac88ca9a1268fabea81d754a528b1c6a0f8aa2a7e	d77e5543be5e08075cb79ca680da6d83406c9000d83b21b29ed0dacd0dbd3bc2
