id	polarity	decision	expected	verdict	fixture_sha256	decision_sha256	signature
sl-001	attack	deny	deny	BLOCKED	5140df3885946db1a5aa654801c3c96b1010bd6509eb9bbcc0cbf794f9b89a2b	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	36b9736fb64db8b0f62470dab62a69663bbf2ab84c54b74e59a8e0adffd76a5b
sl-002	attack	deny	deny	BLOCKED	f99a38e53e57f557237f218f8d07dc9b60caa66ab9e71f97128af7c20c7f5188	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	c1c35cfd7f9fccb029971ae98f4941dc5932b5ac0fd1ce6fec9ad53a09a863b7
sl-003	attack	deny	deny	BLOCKED	7cbf893f47bb739edd80b6b26f8c2fdb68605b42ae63a3b402acf3e3758fec03	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	9d31749e7748f697111d9d70f715563a93df9eae3a6f92c70eee1245e3192d7f
sl-004	attack	deny	deny	BLOCKED	70361991db98f572084d6b51a2d4feac0285888a94270adb61ebe1b2abd4633b	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	633922644b791079b81ef4fe2bf42d33ab5cac582d797ea8580f65d31b4e8b79
sl-005	attack	deny	deny	BLOCKED	078d5836c19a1f2760128b3017b64a368d8ff2afeaf24a82ff7f4a67158b0ac1	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	cab366f15fc5488d5b779a26973a61fcb178326ab4a8696415ab2a5b0db0ccef
sl-006	attack	deny	deny	BLOCKED	b7e99a005c072007ce672b0250d55982d1418a3e7895dcdcfcc0e214dd68364c	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	a6f2de086c4fb5bf98b8304a35c622a66259b95f70f247c968cc8028bf13c1ae
sl-007	attack	deny	deny	BLOCKED	dc8330153594c112a454cbeb755ea36d1083a1e0a91c0009d738bd18ab9fd593	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	d61c62ce3fb7a88fdf37159f25e7a7bdc00a26d140996851352bbe030acb538c
sl-008	attack	deny	deny	BLOCKED	a6d4c9e2ab79069cce7b662da0c8d433e87a61c682c2f6d46e3914c62a54d0f5	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	47ad22fa1ff27ebb4419385dc4e6e6bb8e51dac5e6baa72d44baf51859b48c99
sl-009	benign	allow	allow	PASS	a661e4a47ab452997b27992590338e5a798c1d62d671cde2059e8466df4522b5	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	e7970ea40a66c1f8cd216d9259d8c3d9d7163f065ac3eb09007ee1d4a7400c0b
